sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00004405756,RNA019987,RNA019987_S20_R1_001.fastq.gz,EGAF00008256586
EGAN00004405756,RNA019987,RNA019987_S20_R2_001.fastq.gz,EGAF00008256587
EGAN00004405757,RNA019970,RNA019970_S3_R1_001.fastq.gz,EGAF00008256552
EGAN00004405757,RNA019970,RNA019970_S3_R2_001.fastq.gz,EGAF00008256553
EGAN00004405758,RNA019985,RNA019985_S18_R1_001.fastq.gz,EGAF00008256582
EGAN00004405758,RNA019985,RNA019985_S18_R2_001.fastq.gz,EGAF00008256583
EGAN00004405759,RNA019973,RNA019973_S6_R1_001.fastq.gz,EGAF00008256558
EGAN00004405759,RNA019973,RNA019973_S6_R2_001.fastq.gz,EGAF00008256559
EGAN00004405760,RNA019986,RNA019986_S19_R1_001.fastq.gz,EGAF00008256584
EGAN00004405760,RNA019986,RNA019986_S19_R2_001.fastq.gz,EGAF00008256585
EGAN00004405761,RNA020043,RNA020043_S69_R1_001.fastq.gz,EGAF00008256684
EGAN00004405761,RNA020043,RNA020043_S69_R2_001.fastq.gz,EGAF00008256685
EGAN00004405762,RNA019976,RNA019976_S9_R1_001.fastq.gz,EGAF00008256564
EGAN00004405762,RNA019976,RNA019976_S9_R2_001.fastq.gz,EGAF00008256565
EGAN00004405763,RNA019981,RNA019981_S14_R1_001.fastq.gz,EGAF00008256574
EGAN00004405763,RNA019981,RNA019981_S14_R2_001.fastq.gz,EGAF00008256575
EGAN00004405764,RNA019991,RNA019991_S24_R1_001.fastq.gz,EGAF00008256594
EGAN00004405764,RNA019991,RNA019991_S24_R2_001.fastq.gz,EGAF00008256595
EGAN00004405765,RNA019988,RNA019988_S21_R1_001.fastq.gz,EGAF00008256588
EGAN00004405765,RNA019988,RNA019988_S21_R2_001.fastq.gz,EGAF00008256589
EGAN00004405766,RNA019982,RNA019982_S15_R1_001.fastq.gz,EGAF00008256576
EGAN00004405766,RNA019982,RNA019982_S15_R2_001.fastq.gz,EGAF00008256577
EGAN00004405767,RNA020042,RNA020042_S68_R1_001.fastq.gz,EGAF00008256682
EGAN00004405767,RNA020042,RNA020042_S68_R2_001.fastq.gz,EGAF00008256683
