sample_name	dataset_batch
SRR22561278	block_150bp
SRR22548962	block_300bp
X10648	chalasani
SRR14506881	chen
RNA020109_S115	decruyenaere
SAMP165_EXP101_S1_Technical_replicate_1	flomics_1
SAMP4536_EXP188	flomics_2
SRR8526906	giraldez_phospho-rna-seq
SRR8526905	giraldez_standard
SRR8492603	ibarra_buffy_coat
SRR8492715	ibarra_plasma_cancer
SRR8492719	ibarra_plasma_non_cancer
SRR8492779	ibarra_serum
SRR17333087	moufarrej_site_1
SRR17333255	moufarrej_site_2
SRR6481093	ngo
SRR25143498	reggiardo_bioivt
SRR25143506	reggiardo_dls
SRR15618988	roskams_pilot
SRR15619046	roskams_validation
SRR4421394	rozowsky
SRR20968756	sun_2
SRR16575177	tao
SRRISOLATE_3359	toden
SRR24358238	wang
SRR11810070	wei
SRR10822584	zhu
SRR22561277	block_150bp
SRR22548959	block_300bp
X13031	chalasani
SRR14506727	chen
RNA020013_S42	decruyenaere
SAMP166_EXP101_S2_Technical_replicate_2	flomics_1
SAMP4596_EXP189	flomics_2
SRR8526890	giraldez_phospho-rna-seq
SRR8526891	giraldez_standard
SRR8492602	ibarra_buffy_coat
SRR8492713	ibarra_plasma_cancer
SRR8492689	ibarra_plasma_non_cancer
SRR8492802	ibarra_serum
SRR17333086	moufarrej_site_1
SRR17333251	moufarrej_site_2
SRR6481090	ngo
SRR25143504	reggiardo_bioivt
SRR25143511	reggiardo_dls
SRR15619023	roskams_pilot
SRR15619041	roskams_validation
SRR4421350	rozowsky
SRR20968768	sun_2
SRR16575230	tao
SRRISOLATE_17947	toden
SRR24358156	wang
SRR11810040	wei
SRR10822600	zhu
SRR22561276	block_150bp
SRR22548958	block_300bp
X10770	chalasani
SRR14506851	chen
RNA020006_S36	decruyenaere
SAMP168_EXP101_S4_Technical_replicate_4	flomics_1
SAMP6082_EXP243_56	flomics_2
SRR8526882	giraldez_phospho-rna-seq
SRR8526895	giraldez_standard
SRR8492747	ibarra_buffy_coat
SRR8492669	ibarra_plasma_cancer
SRR8492613	ibarra_plasma_non_cancer
SRR8492780	ibarra_serum
SRR17333025	moufarrej_site_1
SRR17333002	moufarrej_site_2
SRR6481089	ngo
SRR25143505	reggiardo_bioivt
SRR25143519	reggiardo_dls
SRR15619033	roskams_pilot
SRR15619036	roskams_validation
SRR4422532	rozowsky
SRR20968782	sun_2
SRR16575229	tao
SRRISOLATE_2534	toden
SRR24358226	wang
SRR11810071	wei
SRR10822577	zhu
SRR22528273	block_150bp
SRR22561273	block_300bp
X13017	chalasani
SRR14506728	chen
RNA020127_S133	decruyenaere
SAMP167_EXP101_S3_Technical_replicate_3	flomics_1
SAMP6749_EXP250_8	flomics_2
SRR8526888	giraldez_phospho-rna-seq
SRR8526889	giraldez_standard
SRR8492605	ibarra_buffy_coat
SRR8492757	ibarra_plasma_cancer
SRR8492545	ibarra_plasma_non_cancer
SRR8492591	ibarra_serum
SRR17333138	moufarrej_site_1
SRR17333256	moufarrej_site_2
SRR6481095	ngo
SRR25143502	reggiardo_bioivt
SRR25143525	reggiardo_dls
SRR15618999	roskams_pilot
SRR15619043	roskams_validation
SRR4421808	rozowsky
SRR20968765	sun_2
SRR16575173	tao
SRRISOLATE_1978	toden
SRR24358237	wang
SRR11809981	wei
SRR10822593	zhu
SRR22561270	block_150bp
SRR22548960	block_300bp
X12687	chalasani
SRR14506659	chen
RNA020007_S37	decruyenaere
SAMP5411_EXP223_37	flomics_2
SRR8526868	giraldez_phospho-rna-seq
SRR8526901	giraldez_standard
SRR8492604	ibarra_buffy_coat
SRR8492753	ibarra_plasma_cancer
SRR8492609	ibarra_plasma_non_cancer
SRR8492685	ibarra_serum
SRR17333028	moufarrej_site_1
SRR17333238	moufarrej_site_2
SRR6481081	ngo
SRR25143501	reggiardo_bioivt
SRR25143514	reggiardo_dls
SRR15619018	roskams_pilot
SRR15619049	roskams_validation
SRR4421836	rozowsky
SRR20968770	sun_2
SRR16575216	tao
SRRISOLATE_2538	toden
SRR24358176	wang
SRR11810041	wei
SRR10822582	zhu
SRR22507564	block_150bp
SRR22561271	block_300bp
X13020	chalasani
SRR14506849	chen
RNA020022_S51	decruyenaere
SAMP4699_EXP192_27	flomics_2
SRR8526892	giraldez_phospho-rna-seq
SRR8526887	giraldez_standard
SRR8492777	ibarra_buffy_coat
SRR8492626	ibarra_plasma_cancer
SRR8492730	ibarra_plasma_non_cancer
SRR8492596	ibarra_serum
SRR17333310	moufarrej_site_1
SRR17333005	moufarrej_site_2
SRR6481083	ngo
SRR25143496	reggiardo_bioivt
SRR25143521	reggiardo_dls
SRR15619003	roskams_pilot
SRR15619037	roskams_validation
SRR4422147	rozowsky
SRR20968778	sun_2
SRR16575232	tao
SRRISOLATE_1944	toden
SRR24358160	wang
SRR11810043	wei
SRR10822598	zhu
SRR22533401	block_150bp
SRR22500469	block_300bp
X12985	chalasani
SRR14506725	chen
RNA020161_S166	decruyenaere
SAMP6549_EXP247_35	flomics_2
SRR8526870	giraldez_phospho-rna-seq
SRR8526893	giraldez_standard
SRR8492606	ibarra_buffy_coat
SRR8492795	ibarra_plasma_cancer
SRR8492569	ibarra_plasma_non_cancer
SRR8492693	ibarra_serum
SRR17333023	moufarrej_site_1
SRR17333254	moufarrej_site_2
SRR6481087	ngo
SRR25143499	reggiardo_bioivt
SRR25143508	reggiardo_dls
SRR15619024	roskams_pilot
SRR15619040	roskams_validation
SRR4422136	rozowsky
SRR20968761	sun_2
SRR16575226	tao
SRRISOLATE_2559	toden
SRR24358182	wang
SRR11810048	wei
